Data                     Bins

5.521037259872126708e-05 1.000000000000000000e+02
5.021100815080556238e-05 1.064785977823349015e+02
5.542773627036977569e-05 1.133769178569225602e+02
5.129782650904810541e-05 1.207221523428809320e+02
4.847209877761749354e-05 1.285432550273537800e+02
4.564637104618687489e-05 1.368710554968970428e+02
4.282064331475625625e-05 1.457383806629773915e+02
4.064700659827117019e-05 1.551801841606198309e+02
4.542900737453836629e-05 1.652336841302729908e+02
4.347273432970178884e-05 1.759385099260072991e+02
4.542900737453836629e-05 1.873368583283466648e+02
4.412482534464731465e-05 1.994736598775028256e+02
3.999491558332564438e-05 2.123967559826689921e+02
3.673446050859800852e-05 2.261570875055134877e+02
3.608236949365248270e-05 2.408088955612388702e+02
4.173382495651371322e-05 2.564099353287347753e+02
3.803864253848906015e-05 2.730217037126285504e+02
2.934409567254870577e-05 2.907096817546478746e+02
3.390873277716739665e-05 3.095435927498373303e+02
3.390873277716739665e-05 3.295976770850880939e+02
3.651709683694949991e-05 3.509509848833503156e+02
3.282191441892484685e-05 3.736876876070851949e+02
4.195118862816222182e-05 3.978974098492568032e+02
4.064700659827117019e-05 4.236755826197187957e+02
3.412609644881590525e-05 4.511238195196144147e+02
9.998728895831410755e-05 4.803503172865966349e+02
3.151773238903379521e-05 5.114702822897647820e+02
2.890936832925168856e-05 5.446063846554920929e+02
3.303927809057335545e-05 5.798892418142371525e+02
3.934282456838011856e-05 6.174579333744130736e+02
3.521291480705844828e-05 6.574605493528587203e+02
3.412609644881590525e-05 7.000547739229598392e+02
4.586373471783538350e-05 7.454085069814631197e+02
3.651709683694949991e-05 7.937005259840999543e+02
4.499428003124134908e-05 8.451211906588863485e+02
4.216855229981073043e-05 8.998731933749553491e+02
5.064573549410257959e-05 9.581723581247714492e+02
4.738528041937494373e-05 1.020248491269190026e+03
4.347273432970178884e-05 1.086346287398860113e+03
3.869073355343459274e-05 1.156726293882761411e+03
4.695055307607792652e-05 1.231665937905934697e+03
4.803737143432047633e-05 1.311460620044882944e+03
4.847209877761749354e-05 1.396424878691306276e+03
4.369009800135029744e-05 1.486893629914174198e+03
4.760264409102345912e-05 1.583223487647474485e+03
4.390746167299880605e-05 1.685794169407607342e+03
4.499428003124134908e-05 1.795009993081581797e+03
4.716791674772643513e-05 1.911301470686054927e+03
4.934155346421152796e-05 2.035127005379656111e+03
5.086309916575108820e-05 2.166974698417883701e+03
4.608109838948389210e-05 2.307364273173340735e+03
5.129782650904810541e-05 2.456849123805539421e+03
5.216728119564214661e-05 2.616018496655719446e+03
4.803737143432047633e-05 2.785499812965527781e+03
4.586373471783538350e-05 2.965961142075258522e+03
4.955891713586003656e-05 3.158113834850657895e+03
5.325409955388468963e-05 3.362715327718908156e+03
5.412355424047872405e-05 3.580572128366741254e+03
5.108046283739959680e-05 3.812542994870010716e+03
5.194991752399363122e-05 4.059542320786224082e+03
5.977500970333995457e-05 4.322543739553627347e+03
6.455701047960715744e-05 4.602583962404809427e+03
6.064446438993398899e-05 4.900766864923264620e+03
7.412101203214154963e-05 5.218267838351592218e+03
6.868692024092882772e-05 5.556338422803334652e+03
5.651455462861232549e-05 5.916311240642093253e+03
7.672937609192365289e-05 6.299605249474369884e+03
7.107792062906241560e-05 6.707731335462662173e+03
7.607728507697812030e-05 7.142298269006937517e+03
6.673064719609224349e-05 7.605019046270565013e+03
7.651201242027513751e-05 8.097717641548397296e+03
7.477310304708706867e-05 8.622336197093494775e+03
8.064192218159680779e-05 9.180942678743853321e+03
5.673191830026083409e-05 9.775739027526402424e+03
6.433964680795864206e-05 1.040906983937058612e+04
6.716537453938926071e-05 1.108343160714572878e+04
4.695055307607792652e-05 1.180148256145286541e+04
5.999237337498846318e-05 1.256605314896180425e+04
4.542900737453836629e-05 1.338015718959748301e+04
4.108173394156818740e-05 1.424700375655565585e+04
2.695309528441510772e-05 1.517000982597705661e+04
3.021355035914274019e-05 1.615281374614281049e+04
2.412736755298449247e-05 1.719928957928509044e+04
1.521545701539562440e-05 1.831356237254599182e+04
8.694546865940357768e-06 1.950002441828029623e+04
5.868819134509740816e-06 2.076335256779778865e+04
1.086818358242544721e-06 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
