Data                     Bins

2.691370913144406772e-05 1.000000000000000000e+02
2.698846943458696663e-05 1.064785977823349015e+02
2.691370913144406772e-05 1.133769178569225602e+02
2.579230458430056377e-05 1.207221523428809320e+02
2.242809094287005531e-05 1.285432550273537800e+02
2.272713215544165772e-05 1.368710554968970428e+02
1.966195972658274827e-05 1.457383806629773915e+02
2.011052154544015188e-05 1.551801841606198309e+02
1.906387730143954684e-05 1.652336841302729908e+02
1.861531548258214662e-05 1.759385099260072991e+02
1.966195972658274827e-05 1.873368583283466648e+02
1.726963002600994255e-05 1.994736598775028256e+02
1.629774608515223981e-05 2.123967559826689921e+02
1.607346517572353969e-05 2.261570875055134877e+02
1.712010941972414474e-05 2.408088955612388702e+02
1.562490335686613947e-05 2.564099353287347753e+02
1.427921790029393540e-05 2.730217037126285504e+02
1.472777971915133732e-05 2.907096817546478746e+02
1.562490335686613947e-05 3.095435927498373303e+02
1.472777971915133732e-05 3.295976770850880939e+02
1.278401183743593183e-05 3.509509848833503156e+02
1.592394456943774188e-05 3.736876876070851949e+02
1.472777971915133732e-05 3.978974098492568032e+02
1.741915063229574376e-05 4.236755826197187957e+02
2.063384366744045102e-05 4.511238195196144147e+02
1.066081922817756726e-04 4.803503172865966349e+02
1.427921790029393540e-05 5.114702822897647820e+02
1.211116910914982980e-05 5.446063846554920929e+02
1.442873850657973661e-05 5.798892418142371525e+02
1.442873850657973661e-05 6.174579333744130736e+02
1.540062244743743935e-05 6.574605493528587203e+02
1.846579487629634541e-05 7.000547739229598392e+02
1.771819184486734617e-05 7.454085069814631197e+02
1.846579487629634541e-05 7.937005259840999543e+02
1.891435669515374902e-05 8.451211906588863485e+02
2.100764518315495233e-05 8.998731933749553491e+02
2.287665276172745892e-05 9.581723581247714492e+02
2.317569397429905794e-05 1.020248491269190026e+03
2.728751064715856904e-05 1.086346287398860113e+03
2.870795640687367201e-05 1.156726293882761411e+03
3.274501277659028420e-05 1.231665937905934697e+03
3.603446611487789037e-05 1.311460620044882944e+03
3.969772096887999786e-05 1.396424878691306276e+03
4.156672854745250444e-05 1.486893629914174198e+03
4.343573612602501103e-05 1.583223487647474485e+03
4.956608098374282314e-05 1.685794169407607342e+03
5.195841068431562886e-05 1.795009993081581797e+03
5.293029462517333499e-05 1.911301470686054927e+03
6.205105160860715087e-05 2.035127005379656111e+03
6.481718282489446468e-05 2.166974698417883701e+03
6.369577827775096750e-05 2.307364273173340735e+03
6.511622403746606031e-05 2.456849123805539421e+03
6.960184222604007612e-05 2.616018496655719446e+03
7.804975648118780182e-05 2.785499812965527781e+03
7.984400375661740272e-05 2.965961142075258522e+03
8.836667831490802733e-05 3.158113834850657895e+03
8.679671194890712315e-05 3.362715327718908156e+03
9.479606438519744185e-05 3.580572128366741254e+03
8.948808286205152450e-05 3.812542994870010716e+03
9.816027802662794692e-05 4.059542320786224082e+03
1.006273680303436516e-04 4.322543739553627347e+03
1.013002107586297553e-04 4.602583962404809427e+03
9.546890711348354557e-05 4.900766864923264620e+03
1.039168213686312577e-04 5.218267838351592218e+03
1.102714471357777733e-04 5.556338422803334652e+03
8.732003407090741551e-05 5.916311240642093253e+03
1.098228853169203799e-04 6.299605249474369884e+03
9.965548408948595219e-05 6.707731335462662173e+03
9.688935287319863838e-05 7.142298269006937517e+03
7.393793980832828055e-05 7.605019046270565013e+03
9.105804922805242868e-05 8.097717641548397296e+03
8.365677921690531480e-05 8.622336197093494775e+03
7.573218708375789501e-05 9.180942678743853321e+03
4.747279249574161983e-05 9.775739027526402424e+03
6.519098434060895922e-05 1.040906983937058612e+04
5.793923493574764993e-05 1.108343160714572878e+04
3.259549217030447961e-05 1.180148256145286541e+04
3.663254854002109519e-05 1.256605314896180425e+04
2.878271671001657431e-05 1.338015718959748301e+04
2.183000851772685388e-05 1.424700375655565585e+04
1.031692183372022551e-05 1.517000982597705661e+04
1.046644244000602671e-05 1.615281374614281049e+04
6.279865464003615858e-06 1.719928957928509044e+04
3.139932732001807929e-06 1.831356237254599182e+04
8.223633345719020717e-07 1.950002441828029623e+04
7.476030314290019194e-08 2.076335256779778865e+04
0.000000000000000000e+00 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
