Data                     Bins

2.349090310070243984e-05 1.000000000000000000e+02
2.095705287860420132e-05 1.064785977823349015e+02
2.027080177678592507e-05 1.133769178569225602e+02
1.953176212867393813e-05 1.207221523428809320e+02
1.567819824923286459e-05 1.285432550273537800e+02
1.657560353622599037e-05 1.368710554968970428e+02
1.625887225846371268e-05 1.457383806629773915e+02
1.509752424000201819e-05 1.551801841606198309e+02
1.594214098070143159e-05 1.652336841302729908e+02
1.520310133258944465e-05 1.759385099260072991e+02
1.467521586965231064e-05 1.873368583283466648e+02
1.383059912895289724e-05 1.994736598775028256e+02
1.335550221230947730e-05 2.123967559826689921e+02
1.282761674937234329e-05 2.261570875055134877e+02
1.219415419384778451e-05 2.408088955612388702e+02
1.092722908279866356e-05 2.564099353287347753e+02
1.261646256419749036e-05 2.730217037126285504e+02
1.277482820307863091e-05 2.907096817546478746e+02
1.214136564755407043e-05 3.095435927498373303e+02
1.441127313818374533e-05 3.295976770850880939e+02
1.018818943468667662e-05 3.509509848833503156e+02
1.134953745314836941e-05 3.736876876070851949e+02
1.361944494377804431e-05 3.978974098492568032e+02
1.282761674937234329e-05 4.236755826197187957e+02
1.499194714741459172e-05 4.511238195196144147e+02
9.174649345847380193e-05 4.803503172865966349e+02
9.554726879162116139e-06 5.114702822897647820e+02
1.082165199021123709e-05 5.446063846554920929e+02
1.055770925874267009e-05 5.798892418142371525e+02
1.108559472167980410e-05 6.174579333744130736e+02
1.251088547161006390e-05 6.574605493528587203e+02
1.356665639748433023e-05 7.000547739229598392e+02
1.156069163832322403e-05 7.454085069814631197e+02
1.441127313818374533e-05 7.937005259840999543e+02
1.499194714741459172e-05 8.451211906588863485e+02
1.383059912895289724e-05 8.998731933749553491e+02
1.641723789734485153e-05 9.581723581247714492e+02
1.699791190657569962e-05 1.020248491269190026e+03
1.958455067496765221e-05 1.086346287398860113e+03
2.090426433231048724e-05 1.156726293882761411e+03
2.164330398042247418e-05 1.231665937905934697e+03
2.502177094322012780e-05 1.311460620044882944e+03
2.739725552643722747e-05 1.396424878691306276e+03
2.971995156336061644e-05 1.486893629914174198e+03
3.014225993371032230e-05 1.583223487647474485e+03
3.304562997986455937e-05 1.685794169407607342e+03
3.557948020196279450e-05 1.795009993081581797e+03
3.494601764643823910e-05 1.911301470686054927e+03
4.128064320168384048e-05 2.035127005379656111e+03
3.901073571105416558e-05 2.166974698417883701e+03
4.603161236811803981e-05 2.307364273173340735e+03
4.640113219217403498e-05 2.456849123805539421e+03
4.999075334014654491e-05 2.616018496655719446e+03
5.521681942322416079e-05 2.785499812965527781e+03
5.331643175665048105e-05 2.965961142075258522e+03
6.075961678406406792e-05 3.158113834850657895e+03
6.308231282098744673e-05 3.362715327718908156e+03
7.121174895021931323e-05 3.580572128366741254e+03
5.991500004336464943e-05 3.812542994870010716e+03
7.300655952420555803e-05 4.059542320786224082e+03
7.960512781091973319e-05 4.322543739553627347e+03
8.187503530154940131e-05 4.602583962404809427e+03
7.348165644084898136e-05 4.900766864923264620e+03
8.462003970882250631e-05 5.218267838351592218e+03
8.345869169036080335e-05 5.556338422803334652e+03
7.675454631105920681e-05 5.916311240642093253e+03
8.741783266238930844e-05 6.299605249474369884e+03
8.694273574574588512e-05 6.707731335462662173e+03
8.440888552364764999e-05 7.142298269006937517e+03
7.268982824644328034e-05 7.605019046270565013e+03
8.493677098658478401e-05 8.097717641548397296e+03
8.287801768112995865e-05 8.622336197093494775e+03
7.728243177399634083e-05 9.180942678743853321e+03
5.495287669175560056e-05 9.775739027526402424e+03
6.952251546882047626e-05 1.040906983937058612e+04
6.302952427469373604e-05 1.108343160714572878e+04
4.312824232196380952e-05 1.180148256145286541e+04
5.109931281231452362e-05 1.256605314896180425e+04
4.513420708112491741e-05 1.338015718959748301e+04
4.069996919245299577e-05 1.424700375655565585e+04
2.190724671189104119e-05 1.517000982597705661e+04
2.808350662825550372e-05 1.615281374614281049e+04
2.058753305454820616e-05 1.719928957928509044e+04
1.303877093454719791e-05 1.831356237254599182e+04
6.176259916364461678e-06 1.950002441828029623e+04
5.278854629371335043e-06 2.076335256779778865e+04
3.695198240559934699e-07 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
