Data                     Bins

6.879880241593251482e-05 1.000000000000000000e+02
7.004968973258584436e-05 1.064785977823349015e+02
6.660974961178921184e-05 1.133769178569225602e+02
6.270072674724759261e-05 1.207221523428809320e+02
7.348962985338246333e-05 1.285432550273537800e+02
5.800989930979765088e-05 1.368710554968970428e+02
6.238800491808426361e-05 1.457383806629773915e+02
5.410087644525602487e-05 1.551801841606198309e+02
6.035531302852261836e-05 1.652336841302729908e+02
5.206818455569438639e-05 1.759385099260072991e+02
5.222454547027605089e-05 1.873368583283466648e+02
5.081729723904106362e-05 1.994736598775028256e+02
4.878460534947942515e-05 2.123967559826689921e+02
4.565738705784612840e-05 2.261570875055134877e+02
4.409377791202947664e-05 2.408088955612388702e+02
4.659555254533611539e-05 2.564099353287347753e+02
4.331197333912115415e-05 2.730217037126285504e+02
4.284289059537616065e-05 2.907096817546478746e+02
4.628283071617278639e-05 3.095435927498373303e+02
4.550102614326446390e-05 3.295976770850880939e+02
5.003549266613274113e-05 3.509509848833503156e+02
4.909732717864275414e-05 3.736876876070851949e+02
5.050457540987773463e-05 3.978974098492568032e+02
5.034821449529607013e-05 4.236755826197187957e+02
5.238090638485771539e-05 4.511238195196144147e+02
1.088271965488387213e-04 4.803503172865966349e+02
4.065383779123285090e-05 5.114702822897647820e+02
3.783934132876288315e-05 5.446063846554920929e+02
4.659555254533611539e-05 5.798892418142371525e+02
4.440649974119280564e-05 6.174579333744130736e+02
4.628283071617278639e-05 6.574605493528587203e+02
5.034821449529607013e-05 7.000547739229598392e+02
4.862824443489776065e-05 7.454085069814631197e+02
4.972277083696941214e-05 7.937005259840999543e+02
5.425723735983768937e-05 8.451211906588863485e+02
4.690827437449944439e-05 8.998731933749553491e+02
6.176256125975760562e-05 9.581723581247714492e+02
4.815916169115276715e-05 1.020248491269190026e+03
5.707173382230765711e-05 1.086346287398860113e+03
5.988623028477762486e-05 1.156726293882761411e+03
5.488268101816435414e-05 1.231665937905934697e+03
5.644629016398099912e-05 1.311460620044882944e+03
6.692247144095254084e-05 1.396424878691306276e+03
5.926078662645096687e-05 1.486893629914174198e+03
6.254436583266592133e-05 1.583223487647474485e+03
5.863534296812430887e-05 1.685794169407607342e+03
6.035531302852261836e-05 1.795009993081581797e+03
5.628992924939933462e-05 1.911301470686054927e+03
6.176256125975760562e-05 2.035127005379656111e+03
5.847898205354264438e-05 2.166974698417883701e+03
6.254436583266592133e-05 2.307364273173340735e+03
5.722809473688932161e-05 2.456849123805539421e+03
5.253726729943937988e-05 2.616018496655719446e+03
6.551522320971755358e-05 2.785499812965527781e+03
6.504614046597256686e-05 2.965961142075258522e+03
5.957350845561429586e-05 3.158113834850657895e+03
6.958060698884084409e-05 3.362715327718908156e+03
6.895516333051418610e-05 3.580572128366741254e+03
6.238800491808426361e-05 3.812542994870010716e+03
7.317690802421913433e-05 4.059542320786224082e+03
8.599850301991565030e-05 4.322543739553627347e+03
7.864954003457739855e-05 4.602583962404809427e+03
8.005678826581238581e-05 4.900766864923264620e+03
8.584214210533399258e-05 5.218267838351592218e+03
8.115131466788404408e-05 5.556338422803334652e+03
7.958770552206739909e-05 5.916311240642093253e+03
8.412217204493567632e-05 6.299605249474369884e+03
8.568578119075232131e-05 6.707731335462662173e+03
8.850027765322228228e-05 7.142298269006937517e+03
7.223874253672914734e-05 7.605019046270565013e+03
8.865663856780395355e-05 8.097717641548397296e+03
8.208948015537403107e-05 8.622336197093494775e+03
8.287128472828236034e-05 9.180942678743853321e+03
5.535176376190934763e-05 9.775739027526402424e+03
6.770427601386087011e-05 1.040906983937058612e+04
6.160620034517593434e-05 1.108343160714572878e+04
4.127928144955951567e-05 1.180148256145286541e+04
4.362469516828448315e-05 1.256605314896180425e+04
3.127218291633296067e-05 1.338015718959748301e+04
2.658135547888301894e-05 1.424700375655565585e+04
1.485428688525815784e-05 1.517000982597705661e+04
2.001419706645309645e-05 1.615281374614281049e+04
8.599850301991564353e-06 1.719928957928509044e+04
3.596301035378290663e-06 1.831356237254599182e+04
1.407248231234983450e-06 1.950002441828029623e+04
3.127218291633296321e-07 2.076335256779778865e+04
0.000000000000000000e+00 2.210852666679349204e+04
0.000000000000000000e+00 2.354084918513532102e+04
0.000000000000000000e+00 2.506596611838632816e+04
0.000000000000000000e+00 2.668988924345289706e+04
0.000000000000000000e+00 2.841901981608684946e+04
0.000000000000000000e+00 3.026017380365326244e+04
0.000000000000000000e+00 3.222060875262739864e+04
0.000000000000000000e+00 3.430805239672988682e+04
0.000000000000000000e+00 3.653073311846677097e+04
0.000000000000000000e+00 3.889741238415047701e+04
0.000000000000000000e+00 4.141741928025567177e+04
0.000000000000000000e+00 4.410068728724671382e+04
0.000000000000000000e+00 4.695779343583277659e+04
